stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
3053206,,"Rocky Way and Grand","",46.724657,-117.185311,,,0,,,0,,
3053207,,"Jin's Mart","",46.726277,-117.185016,,,0,,,0,,
3053439,,"Northwood Manor","",46.743443,-117.149067,,,0,,,0,,
3053440,,"Aspen Village, North bound","",46.744416,-117.147693,,,0,,,0,,
3053441,,"Maple Valley, North bound","",46.746492,-117.145297,,,0,,,0,,
3053442,,"Birch Hills, West bound","",46.748377,-117.147749,,,0,,,0,,
3053443,,"Cougar Crest, South bound","",46.746095,-117.151673,,,0,,,0,,
3053444,,"College Crest","",46.74427,-117.151885,,,0,,,0,,
3053445,,"Cougs Corner Mart","",46.74345,-117.15461,,,0,,,0,,
3053446,,"Valley and Merman","",46.740245,-117.159142,,,0,,,0,,
3053447,,"Valley and Orchard, East bound","",46.739845,-117.156361,,,0,,,0,,
3053448,,"Rec. Center on Orchard, South bound","",46.736573,-117.157015,,,0,,,0,,
3053449,,"Concordia Lutheran","",46.735981,-117.158638,,,0,,,0,,
3053454,,"Bustad Hall","",46.729438,-117.160031,,,0,,,0,,
3053455,,"Vogel Biosciences","",46.731551,-117.158789,,,0,,,0,,
3053458,,"Outdoor Rec. Center","",46.737821,-117.150861,,,0,,,0,,
3053988,,"Cougar Crest, North bound","",46.746536,-117.151527,,,0,,,0,,
3053989,,"Pine Ridge Upper","",46.747698,-117.150857,,,0,,,0,,
3053990,,"North Maple Valley","",46.748305,-117.147953,,,0,,,0,,
3053991,,"East Maple Valley, south bound","",46.746291,-117.145409,,,0,,,0,,
3053992,,"Aspen Village, south bound","",46.74425,-117.148155,,,0,,,0,,
3053993,,"Cougar Ridge","",46.742378,-117.152151,,,0,,,0,,
3053994,,"Terre View and Merman","",46.742988,-117.154944,,,0,,,0,,
3053995,,"Emerald Downs","",46.739898,-117.163958,,,0,,,0,,
3053996,,"Providence Court","",46.738532,-117.167658,,,0,,,0,,
3053997,,"North Beasley, East bound","",46.735637,-117.159184,,,0,,,0,,
3053998,,"Rec. Center on Orchard, East bound","",46.736694,-117.156641,,,0,,,0,,
3053999,,"Valley and Orchard, West bound","",46.739929,-117.156416,,,0,,,0,,
3054890,,"Pullman High School","",46.748334,-117.186129,,,0,,,0,,
3054892,,"Hall and Orion, South bound","",46.743818,-117.179215,,,0,,,0,,
3054894,,"State and Timothy, South bound","",46.741044,-117.179014,,,0,,,0,,
3054895,,"State and True, South bound","",46.738926,-117.178385,,,0,,,0,,
3054896,,"Jefferson Elementary, north bound","",46.739459,-117.181147,,,0,,,0,,
3054897,,"Darrow and Orion, west bound","",46.739863,-117.183732,,,0,,,0,,
3054898,,"Clifford and Darrow, south bound","",46.739581,-117.185741,,,0,,,0,,
3054899,,"Clifford and Harrison, south bound","",46.736771,-117.185745,,,0,,,0,,
3054900,,"Harrison and Fisk, east bound","",46.73648,-117.184263,,,0,,,0,,
3054901,,"Harrison and Bryant, east bound","",46.736461,-117.181545,,,0,,,0,,
3054902,,"State and Harrison, south bound","",46.73623,-117.178401,,,0,,,0,,
3055107,,"Forest Way and Chinook Drive","",46.723509,-117.163268,,,0,,,0,,
3055108,,"Forest Way and North Chinook Drive","",46.725084,-117.160581,,,0,,,0,,
3055109,,"Olympia and Grimes","",46.729719,-117.152638,,,0,,,0,,
3055110,,"Stadium and Lybecker","",46.73664,-117.163424,,,0,,,0,,
3055111,,"McDonalds North","",46.739285,-117.171128,,,0,,,0,,
3055112,,"Larry and Friel","",46.747178,-117.174202,,,0,,,0,,
3055630,,"Lincoln Middle School 2","",46.717835,-117.177109,,,0,,,0,,
3055631,,"Derby and Robin","",46.723296,-117.170902,,,0,,,0,,
3055632,,"Professional Mall Blvd.","",46.721304,-117.167035,,,0,,,0,,
3055633,,"Grand and Crestview","",46.720172,-117.184106,,,0,,,0,,
3055634,,"Larry and Friel, west bound","",46.747355,-117.173772,,,0,,,0,,
3055636,,"Aquatic Center on Larry","",46.745223,-117.180419,,,0,,,0,,
3055638,,"Grimes and Olympia, East bound","",46.729629,-117.152747,,,0,,,0,,
3055639,,"North Forest Way, South bound","",46.725305,-117.160409,,,0,,,0,,
3055640,,"South Forest Way, South bound","",46.723113,-117.163404,,,0,,,0,,
3055641,,"Derby and Dilke","",46.723401,-117.174556,,,0,,,0,,
3056272,,"Main and Cedar","",46.730686,-117.191128,,,0,,,0,,
3056274,,"Arbor and Main","",46.729995,-117.186338,,,0,,,0,,
3056276,,"Sunnyside Elementary","",46.727861,-117.188189,,,0,,,0,,
3056277,,"Fountain and Center","",46.724887,-117.190176,,,0,,,0,,
3056278,,"Cityview and James","",46.72309,-117.190665,,,0,,,0,,
3056279,,"Fountain and Crestview","",46.720892,-117.190283,,,0,,,0,,
3056281,,"Crestview and Grand","",46.720527,-117.185878,,,0,,,0,,
3056933,,"Pullman Family Medicine","",46.738769,-117.166548,,,0,,,0,,
3056934,,"Koppel Farm","",46.722472,-117.167635,,,0,,,0,,
3057585,,"Lincoln Middle School 4","",46.717919,-117.177126,,,0,,,0,,
3057586,,"Jack in the Box","",46.740074,-117.172417,,,0,,,0,,
3057822,,"Lincoln Middle School 5","",46.717668,-117.177369,,,0,,,0,,
3058358,,"Lincoln Middle School 1","",46.717881,-117.17763,,,0,,,0,,
3059329,,"WSU Research Park","",46.743823,-117.162738,,,0,,,0,,
3059722,,"Palouse Medical","",46.712748,-117.171809,,,0,,,0,,
3060364,,"Lincoln Middle School 6","",46.717711,-117.177165,,,0,,,0,,
3672225,,"Crestview and Spring","",46.719561,-117.177731,,,0,,,0,,
3673887,,"Whispering Hills Turnaround","",46.723079,-117.207305,,,0,,,0,,
3673888,,"Paradise Street","",46.728817,-117.179507,,,0,,,0,,
3673889,,"Stephenson Hall","",46.726889,-117.165794,,,0,,,0,,
3676534,,"Dillon and Terre View, West bound","",46.750371,-117.174442,,,0,,,0,,
3676536,,"Lamont and Larry","",46.747365,-117.176656,,,0,,,0,,
3678509,,"Welcome Center","",46.731582,-117.187579,,,0,,,0,,
3680030,,"WSU Visitors Center","",46.72966,-117.174143,,,0,,,0,,
3716350,,"Valley Playfields","",46.74018,-117.158503,,,0,,,0,,
3875951,,"Adams Mall","",46.734025,-117.17098,,,0,,,0,,
3875953,,"Summer Hill","",46.743817,-117.153473,,,0,,,0,,
3889026,,"Valley and Brandi Way","",46.740114,-117.16222,,,0,,,0,,
4559819,,"Lincoln Middle School 3","",46.717725,-117.177544,,,0,,,0,,
4559963,,"Harrison and Bryant, West bound","",46.736571,-117.181092,,,0,,,0,,
4560304,,"Bryant and Windus","",46.736949,-117.181283,,,0,,,0,,
4582124,,"The Ruckus","",46.743944,-117.15603,,,0,,,0,,
4582126,,"Boulder Creek, West bound","",46.744147,-117.157968,,,0,,,0,,
4582127,,"Pimlico, South bound","",46.742657,-117.164421,,,0,,,0,,
4582129,,"Churchill Downs","",46.741246,-117.164862,,,0,,,0,,
4582376,,"Boulder Creek","",46.744022,-117.157549,,,0,,,0,,
5849896,,"Northside Commons","",46.733448,-117.162651,,,0,,,0,,
6466497,,"Pullman City Hall","",46.71935,-117.181919,,,0,,,0,,
6519598,,"Grocery Outlet","",46.717095,-117.182829,,,0,,,0,,
6607123,,"Beasley South","",46.734127,-117.158512,,,0,,,0,,
6712113,,"Mooberry Track","",46.733848,-117.158988,,,0,,,0,,
7295626,,"The Retreat","",46.748003,-117.151092,,,0,,,0,,
7753660,,"Campus and Ruby","",46.733325,-117.17176,,,0,,,0,,
8028742,,"Pullman Church of Christ","",46.73739,-117.166097,,,0,,,0,,
8088758,,"Pine Street Mall, North bound","",46.729683,-117.179098,,,0,,,0,,
8088759,,"WSU Visitor Center","",46.729642,-117.174015,,,0,,,0,,
