stop_name,stop_lat,stop_lon
Lincoln Middle School 5,46.717668,-117.177369
Lincoln Middle School 1,46.717881,-117.17763
WSU Research Park,46.743823,-117.162738
Palouse Medical,46.712748,-117.171809
Lincoln Middle School 6,46.717711,-117.177165
Crestview and Spring,46.719561,-117.177731
Whispering Hills Turnaround,46.723079,-117.207305
Paradise Street,46.728817,-117.179507
Stephenson Hall,46.726889,-117.165794
"Dillon and Terre View, West bound",46.750371,-117.174442
Lamont and Larry,46.747365,-117.176656
Welcome Center,46.731582,-117.187579
WSU Visitors Center,46.72966,-117.174143
Valley Playfields,46.74018,-117.158503
Adams Mall,46.734025,-117.17098
Summer Hill,46.743817,-117.153473
Valley and Brandi Way,46.740114,-117.16222
Lincoln Middle School 3,46.717725,-117.177544
"Harrison and Bryant, West bound",46.736571,-117.181092
Bryant and Windus,46.736949,-117.181283
The Ruckus,46.743944,-117.15603
"Boulder Creek, West bound",46.744147,-117.157968
"Pimlico, South bound",46.742657,-117.164421
Churchill Downs,46.741246,-117.164862
Boulder Creek,46.744022,-117.157549
Northside Commons,46.733448,-117.162651
Pullman City Hall,46.71935,-117.181919
Grocery Outlet,46.717095,-117.182829
Beasley South,46.734127,-117.158512
Mooberry Track,46.733848,-117.158988
The Retreat,46.748003,-117.151092
Campus and Ruby,46.733325,-117.17176
Pullman Church of Christ,46.73739,-117.166097
"Pine Street Mall, North bound",46.729683,-117.179098
WSU Visitor Center,46.729642,-117.174015
